day,total_infected
0,1
1,1
2,1
3,2
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,5
33,5
34,28
35,30
36,31
37,34
38,39
39,43
40,56
41,62
42,73
43,82
44,102
45,113
46,119
47,142
48,156
49,194
50,244
51,330
52,396
53,499
54,536
55,657
56,727
57,887
58,987
59,1024
60,1251
61,1397
62,1998
63,2543
64,2567
65,3082
66,3588
67,4778
68,5311
69,5916
70,6725
71,7598
72,8446
73,9205
74,10453
75,11487
76,12322
77,13430
78,14352
79,15722
80,17615
81,18539
82,20080
83,21370
84,23077
85,24530
86,26283
87,27890
88,29451
89,31324
90,33062
91,34863
92,37257
93,39699
94,42505
95,46437
96,49400
97,52987
98,56351
99,59695
100,62808
101,67161
102,70768
103,74292
104,78055
105,81997
106,85784
107,90648
108,95698
109,100328
110,106475
111,112028
112,118226
113,124794
114,131423
115,138536
116,144950
117,150793
118,158086
119,165386
120,173491
121,181827
122,190609
123,198370
124,207191
125,216824
126,226713
127,236184
128,246622
129,257486
130,265928
131,276146
132,286605
133,297535
134,308993
135,320922
136,332424
137,343091
138,354065
139,366946
140,380532
141,395048
142,410451
143,425282
144,440215
145,456183
146,473105
147,490401
148,508953
149,528859
150,548318
151,566840
152,585481
153,604641
154,625544
155,648315
156,673165
157,697413
158,719664
159,742417
160,767296
161,793802
162,820916
163,849522
164,878254
165,906752
166,936181
167,968857
168,1003832
169,1039084
170,1077781
171,1118206
172,1155338
173,1193078
174,1238798
175,1288108
176,1337024
177,1385635
178,1435616
179,1480073
180,1531669
181,1581963
182,1634746
183,1695988
184,1750723
185,1803695
186,1855745
187,1908254
188,1964536
189,2027074
190,2088611
191,2153010
192,2215074
193,2268675
194,2329638
195,2396637
196,2461190
197,2525922
198,2589952
199,2647663
200,2702681
201,2767253
202,2836925
203,2905825
204,2975701
205,3044940
206,3106348
207,3167323
208,3224547
209,3310234
210,3387500
211,3463972
212,3542733
213,3621245
214,3691166
215,3769523
216,3853406
217,3936747
218,4023179
219,4113811
220,4204613
221,4280422
222,4370128
223,4465863
224,4562414
225,4659984
226,4754356
227,4846427
228,4930236
229,5020359
230,5118253
231,5214677
232,5308014
233,5400619
234,5487580
235,5562663
236,5646010
237,5732518
238,5818570
239,5903932
240,5992532
241,6074702
242,6145291
243,6225763
244,6312584
245,6394068
246,6473544
247,6549373
248,6623815
249,6685082
250,6757131
251,6835655
252,6906151
253,6979423
254,7053806
255,7120538
256,7175880
257,7239389
258,7307097
259,7370468
260,7432680
261,7494551
262,7550273
263,7597063
264,7651107
265,7706946
266,7761312
267,7814682
268,7864811
269,7909959
270,7946429
271,7990322
272,8040203
273,8088851
274,8137119
275,8184082
276,8229313
277,8267623
278,8313876
279,8364086
280,8411724
281,8462080
282,8507754
283,8553657
284,8591730
