day,total_infected
0,8
1,7
2,8
3,8
4,8
5,10
6,11
7,11
8,14
9,14
10,14
11,21
12,28
13,30
14,41
15,46
16,58
17,68
18,90
19,101
20,108
21,129
22,165
23,187
24,212
25,240
26,288
27,320
28,393
29,447
30,536
31,626
32,730
33,868
34,988
35,1168
36,1311
37,1411
38,1542
39,1635
40,1685
41,1755
42,1858
43,1956
44,2040
45,2147
46,2212
47,2244
48,2313
49,2373
50,2449
51,2525
52,2588
53,2631
54,2668
55,2721
56,2780
57,2906
58,3145
59,3393
60,3517
61,3614
62,3663
63,3732
64,3792
65,3887
66,3959
67,3987
68,4027
69,4085
70,4177
71,4177
72,4356
73,4464
74,4563
75,4586
76,4653
77,4710
78,4793
79,4866
80,4960
81,4993
82,5034
83,5067
84,5162
85,5247
86,5277
87,5367
88,5438
89,5471
90,5523
91,5604
92,5665
93,5742
94,5833
95,5898
96,5928
97,5966
98,6050
99,6109
100,6158
101,6225
102,6297
103,6326
104,6353
105,6419
106,6479
107,6535
108,6626
109,6681
110,6716
111,6764
112,6826
113,6893
114,6978
115,7028
116,7063
117,7105
118,7163
119,7242
120,7336
121,7401
122,7454
123,7499
124,7524
125,7572
126,7652
127,7694
128,7789
129,7862
130,7906
131,7943
132,8019
133,8077
134,8143
135,8200
136,8305
137,8395
138,8444
139,8492
140,8641
141,8685
142,8764
143,8867
144,8955
145,9020
146,9079
147,9168
148,9273
149,9371
150,9477
151,9605
152,9663
153,9713
154,9815
155,9897
156,10024
157,10118
158,10274
159,10360
160,10441
161,10566
162,10691
163,10884
164,11135
165,11276
166,11425
167,11505
168,11571
169,12194
170,12517
171,12942
172,13322
173,13509
174,13749
175,14003
176,14337
177,14596
178,14889
179,15109
180,15300
181,15403
182,15571
183,15834
184,16117
185,16437
186,16638
187,16801
188,16994
189,17291
190,17686
191,18075
192,18444
193,18696
194,18869
195,19189
196,19634
197,20097
198,20554
199,21133
200,21541
201,21738
202,21997
203,22389
204,23136
205,23522
206,23986
207,24418
208,24598
209,24876
210,25906
211,26441
212,27215
213,27947
214,28564
215,28925
216,29339
217,30215
218,31012
219,31805
220,32611
221,33269
222,33836
223,34457
224,35044
225,36017
226,37202
227,38141
228,39203
229,39741
230,40730
231,42000
232,43000
233,44559
234,45992
235,47324
236,47850
237,48854
238,49791
239,51151
240,52639
241,53976
242,55404
243,56311
